P0910800, 総合研究II（ＮＩＣＯＤＩＭＵＳＲＥＴＤＩＡＮ）, 3, 電子情報システム学科, 後期, 大宮, 専門
P0910800, 総合研究II（後藤裕介）, 3, 電子情報システム学科, 後期, 大宮, 専門
P0910800, 総合研究II（久住憲嗣）, 3, 電子情報システム学科, 後期, 大宮, 専門
P0910800, 総合研究II（保坂亮介）, 3, 電子情報システム学科, 後期, 大宮, 専門
P0910800, 総合研究II（原田拓弥）, 3, 電子情報システム学科, 後期, 大宮, 専門
P0450400, データ構造とアルゴリズムII, 2, 電子情報システム学科, 前期, 大宮, 専門
P2670400, プログラミング演習I, 1, 電子情報システム学科, 後期, 大宮, 専門
P0690400, オブジェクト指向プログラミングI, 1, 電子情報システム学科, 後期, 大宮, 専門
P0695200, オブジェクト指向プログラミングII, 2, 電子情報システム学科, 前期, 大宮, 専門
P2680300, プログラミング演習II, 2, 電子情報システム学科, 前期, 大宮, 専門
P2680800, Embedded Systems, 2, 電子情報システム学科, 前期, 大宮, 専門
P0480000, データベース, 2, 電子情報システム学科, 前期, 大宮, 専門
P0460200, ソフトウェア設計論, 2, 電子情
