N0050501, 医学概論, 1, 生命科学科 生命科学コース, 前期, 大宮, 専門
N2691600, Basic Bioscience, 1, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0430701, 生理学II, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0685811, 機械設計製作演習, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0845001, 生命医工学実験I, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0846101, 生命科学実験A, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0846201, 生命科学実験B, 2, 生命科学科 生命科学コース, 前期, 大宮, 専門
N2691500, Embedded Control Systems （International Training）, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0755011, 医療福祉機器設計演習, 2, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0846301, 生命科学実験C, 2, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0130500, 公衆衛生学, 3, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0846401, 応用生命科学実験, 3, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0846500, キャリアデザイン, 3, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0910100, 総合研究I（アズハムズルカルナイン）, 3, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0910200, 総合研究II（アズハムズルカルナイン）, 3, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0040601, 分子生物学, 2, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0060401, 微生物学, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0110701, 発生遺伝学, 2, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0120601, 環境化学, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0140401, 生命倫理, 2, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0160201, 生命統計学, 1, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0390501, 生化学, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N2680201, 生体計測学, 2, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0190200, Advanced Bioscience, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0190300, Assistive Technology, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0190500, Genetic Engineering, 2, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0190400, Basic Molecular　Biologｙ, 1, 生命科学科 生命科学コース, 前期, 大宮, 専門
N0180200, グローバル課題解決実習, 1, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0180100, インターンシップ, 2, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0320300, 物理化学, 4, 生命科学科 生命科学コース, 後期, 大宮, 専門
N0340101
