H0510100, 土質力学, 2, 工学部土木工学科, 後期, 大宮, 専門
H0140700, コンクリート構造学２, 2, 工学部土木工学科, 後期, 大宮, 専門
H0416100, 土木実験１, 2, 工学部土木工学科, 後期, 大宮, 専門
H0560600, 都市環境工学, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0761000, 地震防災工学, 2, 工学部土木工学科, 後期, 大宮, 専門
H0515000, 地盤工学, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0902020, 地盤環境工学, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0902030, 維持管理工学, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0417900, 土木実験２, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0902050, 鋼構造学, 3, 工学部土木工学科, 前期, 豊洲, 専門
H0682200, 卒業研究１（稲積真哉）, 3, 工学部土木工学科, 後期, 豊洲, 専門
