F0790300, 情報通信特論２, 3, 情報通信工学科, 前期, 豊洲, 専門
F0846300, 情報工学特論, 3, 情報通信工学科, 前期, 豊洲, 専門
F0621000, 電波法規, 2, 情報通信工学科, 後期, 大宮, 専門
F0622800, 通信法令, 3, 情報通信工学科, 前期, 豊洲, 専門
F0400900, 無線機器, 3, 情報通信工学科, 前期, 豊洲, 専門
F0760600, 情報通信基礎実験Ａ, 4, 情報通信工学科, 後期, 豊洲, 専門
F0761400, 情報通信基礎実験B, 1, 情報通信工学科, 前期, 大宮, 専門
F0846700, 情報通信基礎実験C, 1, 情報通信工学科, 後期, 大宮, 専門
F0415660, 情報処理概論, 4, 情報通信工学科, 後期, 豊洲, 専門
F0846800, 情報通信基礎実験D, 2, 情報通信工学科, 前期, 大宮, 専門
F0342309, 情報通信工学概論, 2, 情報通信工学科, 後期, 大宮, 専門
F0711500, 情報通信技術英語, 2, 情報通信工学科, 後期, 大宮, 専門
F0802000, 音響工学, 2, 情報通信工学科, 後期, 大宮, 専門
F0845700, ネットワーク理論, 2, 情報通信工学科, 後期, 大宮, 専門
F0846900, 工業数学, 3, 情報通信工学科, 後期, 豊洲, 専門
F0470201, 情報通信応用実験Ａ, 2, 情報通信工学科, 後期, 大宮, 専門
F0846400, 情報通信応用実験Ｂ, 3, 情報通信工学科, 前期, 豊洲, 専門
F0793700, 情報通信ゼミナール, 3, 情報通信工学科, 前期, 豊洲, 専門
F0700200, 情報通信工学実習, 4, 情報通信工学科, 前期, 豊洲, 専門
F0710150, 卒業研究１（堀江亮太）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710200, 卒業研究２（堀江亮太）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（上岡英史）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（神澤雄智）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（行田弘一）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（田中愼一）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（広瀬数秀）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（前田健吾）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（松田晴英）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（武藤憲司）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（森野博章）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（齋藤敦史）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（宮田純子）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710150, 卒業研究１（李ひよん）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710200, 卒業研究２（上岡英史）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710200, 卒業研究２（神澤雄智）, 3, 情報通信工学科, 後期, 豊洲, 専門
F0710200, 卒業研究２（行田弘一）, 3, 情報通信工学科, 後期, 豊洲, 専門
